행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
오백에 삼십,문화회관 대공연장,빽도 없지만 열심히 살아가고자 하는 우리들의 이야기를 풀어내 남녀노소 구분없이 공감하고 즐길 수 있는 연극,2025-08-30,2025-08-30,19:30,21:10,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
오백에 삼십,문화회관 대공연장,빽도 없지만 열심히 살아가고자 하는 우리들의 이야기를 풀어내 남녀노소 구분없이 공감하고 즐길 수 있는 연극,2025-08-29,2025-08-29,19:30,21:10,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
넌센스3,문화회관 대공연장,넘치는 끼와 유머로 무장한 멋쟁이 신부님이 가세하여 4명의 수녀와 만들어내는 앙상블과 컨트리 음악으로 만들어 내는 코믹 뮤지컬,2025-06-27,2025-06-27,19:30,21:30,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
청춘연가,문화회관 대공연장,잔치와 장례식을 통해 드러낸 가족과 지역공동체의 갈등과 화합을 다룬 트로트주크박스 뮤지컬,2025-05-09,2025-05-09,19:30,21:10,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
광화문 그 사내,문화회관 대공연장,"조선의 명장 이순신의 6개의 스토리로 미디어아트, 국악, 현대기술 등 다양한 미디어 퍼포먼스",2025-04-26,2025-04-26,14:00,15:10,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,1000원,5세이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
광화문 그 사내,문화회관 대공연장,"조선의 명장 이순신의 6개의 스토리로 미디어아트, 국악, 현대기술 등 다양한 미디어 퍼포먼스",2025-04-25,2025-04-25,19:30,20:40,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,1000원,5세이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
Winter Vibes 콘서트,문화회관 대공연장,겨울 감성 콘서트,2024-12-18,2024-12-18,19:30,21:30,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인+상주시민 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
투깝쇼,문화회관 대공연장,SBS 개그맨들이 펼치는 초특급 웃음 폭탄쇼 두명의 형사가 잠입수사를 하면서 펼쳐지는 코믹+달콤살벌한 사랑 이야기와 홍윤화의 1인2역 코믹 퍼레이드쇼까지 감동은 없고 오직 웃음만 넘쳐나는 공연,2024-11-15,2024-11-15,19:30,21:00,무료,대구한의대학교,경상북도,054-537-6215,,506,0원,초등학생 이상 관람가,,,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
유앤잇,문화회관 대공연장,영국 에든버러 프린지 페스티벌 올해의 공연에 선정된 뮤지컬로 사고로 사망한 아내를 잊지 못해 AI로 되살리며 벌어지는 아름답고 슬플 사랑 이야기를 4인조 오케스트라의 아름다운 멜로디와 환상적인 연출로 감정선을 극대화한 작품,2024-10-26,2024-10-26,19:00,20:40,유료,(재)예술경영지원센터,경상북도 상주시+㈜이지뮤지컬컴퍼니,054-537-6215,문화체육관광부,506,10000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인+상주시민 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
페이크북,문화회관 대공연장,SNS에 자아를 빼앗긴 현대인들에게 나다움의 가치를 전하는 뮤지컬,2024-09-07,2024-09-07,17:00,18:20,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
정글라이프,문화회관 대공연장,직장인들의 삶을 정글에 빗대어 재밌게 표현한 작품으로+숨막히는 현실의 막막함을 얘기하면서 직장인들의 삶을 유쾌+상쾌+통쾌하게 풀어낸 뮤지컬,2024-08-23,2024-08-23,19:30,21:20,유료,(재)예술경영지원센터,경상북도 상주시+JNS컴퍼니,054-537-6215,문화체육관광부,506,10000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인+상주시민 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
가족오페라 마술피리<희망의 메아리>,문화회관 대공연장,국내 최정상 오페라 전문 가수들과 챔버 오케스트라 연주가 함께하는 해설이 있는 오페라로 누구나 부담없이 공감하며 즐길 수 있는 모차르트의 오페라,2024-07-20,2024-07-20,17:00,18:50,유료,(재)예술경영지원센터,경상북도 상주시+문화뱅크,054-537-6215,문화체육관광부,506,10000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인+상주시민 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
투깝쇼,문화회관 대공연장,SBS 개그맨들이 펼치는 초특급 웃음 폭탄쇼 두명의 형사가 잠입수사를 하면서 펼쳐지는 코믹+달콤살벌한 사랑 이야기와 홍윤화의 1인2역 코믹 퍼레이드쇼까지 감동은 없고 오직 웃음만 넘쳐나는 공연,2024-06-28,2024-06-28,19:30,21:00,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
북천 돗자리 시네마,북천시민공원 야외음악당,"상주시민 누구나 무료로 관람 가능하며, 참가자들이 북천시민공원 내 편하게 앉을 수 있는 돗자리와 간식거리를 지참하여 즐기는 영화 관람",2024-05-24,2024-05-25,20:00,22:00,무료,경상북도 상주시,경상북도 상주시,054-537-6215,,1300,0원,전체 관람가,,,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
바다탐험대 옥토넛<바다넘어 육지까지>,문화회관 대공연장,재능TV를 통해 꾸준한 인기를 입증하고 있는 콘텐츠로서 바닷속에 문제가 생기면 언제든지 출동해 문제를 해결하는 개성있고 용감한 옥토넛 대원들의 바다수호 이야기 뮤지컬,2024-05-11,2024-05-11,11:00,16:00,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,1000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
문준호 슈퍼매직쇼,문화회관 대공연장,세계 3대 예술축제 에딘버러페스티벌 한국 최초 초청 마술사로서+수많은 방송에서 입증된 퍼포먼스와 일루션 매직쇼로+가족+연인 모두가 함께 즐길 수 있는 최고의 작품,2024-04-27,2024-04-27,11:00,16:00,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,1000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
2023 레트로&뉴트로 콘서트,문화회관 대공연장,국내 최장수 혼성그룹 코요태+한국의 리키마틴 홍경민+슈퍼스타K2 핫이슈상 김보경이 펼치는 레트로&뉴트로 콘서트,2023-12-21,2023-12-21,19:30,21:00,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
여보 나도 할말 있어,문화회관 대공연장,보는 내내 배꼽 잡는 웃음과 함께+내 이야기를 해주고+내 모습을 보여주고+나를 위로하고+내 마음을 치유하며 가슴시린 외로움을 저 멀리 날려보내는 연극,2023-11-18,2023-11-18,14:00,20:00,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
넌센스,문화회관 대공연장,1991년 초연 이후 꾸준한 사랑을 받는 국내 최장수 뮤지컬 중 하나로+날카로운 풍자와 신나는 노래와 춤+빵빵 터지는 수녀님들의 장례비용을 모으기 위한 이야기,2023-10-27,2023-10-27,19:30,21:00,유료,경상북도+경상북도 상주시+㈜뮤지컬넌센스,한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
위대한 음악가들과 동화의 만남,문화회관 대공연장,평소 어렵다고 생각되는 클래식 공연에 명작동화의 장면과 해설이 함께하며+관객들이 소품 악기들을 가지고 공연에 참여할 수 있는 관객 참여형 공연 프로그램,2023-09-23,2023-09-23,17:00,18:00,유료,경상북도+경상북도 상주시+사단법인 영남필하모니오케스트라,한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,1000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
명품 마당놀이 신뺑파전,문화회관 대공연장,김학용+서정금+이소연+박자희 등 국립국장 마당놀이의 주역인 명창들과 중앙관현악단+이승주 무용단 38명의 출연진이 함께 만들어내는 판소리와 국악의 놀이판,2023-08-19,2023-08-19,17:00,18:30,유료,경상북도+경상북도 상주시+아름다운 우리문화,한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
페페의 꿈,문화회관 대공연장,오케스트라와 함께하는 동화뮤지컬 페페의 꿈은 클래식 음악에 접근이 어려웠던 어린이들에게 클래식 음악에 흥미를 가지고 경험할 수 있는 기회를 마련한다.,2023-07-22,2023-07-22,15:00,18:00,유료,경상북도+경상북도 상주시+음악극창작집단 톰방,(재)예술경영지원센터,054-537-6215,문화체육관광부,506,10000원,24개월 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
그놈은 예뻤다,문화회관 대공연장,비싼 집세 때문에 여성 전용 셰어하우스를 발견하고 여장을 하면서 벌어지는 개그 연극으로 개그콘서트 등에 출연한 개그맨들이 펼치는 애드리브와 코믹한 연기 그리고 감동이 있는 신나는 무대,2023-06-30,2023-06-30,19:30,21:00,유료,상주문화회관,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
고고다이노 공룡탐험대,문화회관 대공연장,현재 EBS에서 방영 중인 애니메이션 고고다이노 공룡탐험대 다이노 대원들을 무대에서 실제로 만나볼 수 있는 뮤지컬로 단순히 아이들에게 재미만 줄 수 있는 시간이 아니라 교육적이며 어른들도 함께 즐길 수 있는 공연,2023-04-22,2023-04-22,11:00,15:00,유료,상주문화회관,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
춘하추동 디톡스콘서트,문화회관 대공연장,전통음악을 기반으로 판소리를 현대화하여 유머와 재치를 겸비한 최고의 소리꾼 남상일+파워풀한 가창력과 호소력 짙은 음색을 가진 박구윤+독보적인 목소리로 보이스퀸의 자리에 오른 최연화 세 사람이 꾸미는 환상의 무대,2023-04-07,2023-04-07,19:30,21:00,유료,상주문화회관,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
2022 레트로 콘서트,문화회관 대공연장,K-pop의 디바 김현정+발라드의 황태자 조성모+대한민국 대표 발라더 왁스 2000년대 많은 사랑을 받았던 보컬리스트들과 함께 하는 레트로 콘서트,2022-12-23,2022-12-23,19:30,21:00,유료,상주문화회관,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
스냅,문화회관 대공연장,세계마술챔피언십 FISM에 우승 및 입상한 공연자들이 모여 제작한 공연으로서 동화적인 스토리텔링에 독창적인 마술과 연극+무용+음악+미디어아트 등을 결합하여 온 가족이 즐길 수 있는 매직컬 미스터리 퍼포먼스,2022-11-12,2022-11-12,13:30,18:10,유료,상주문화회관+그루잠 프로덕션,경상북도+경상북도 상주시+한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,5세 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
운명을 이겨낸 베토벤,문화회관 대공연장,어린이들에게 아직 어려운 클래식 음악을 작곡자 베토벤 일생 중 에피소드를 신비로운 마술과 연극+클래식 음악을 통해 만나는 음악극,2022-10-29,2022-10-29,17:00,18:00,유료,상주문화회관+아토앙상블,경상북도+경상북도 상주시+한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,전체 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
경로당 폰팅 사건,문화회관 대공연장,은밀한 폰팅을 둘러싼 리얼 대박 코믹 잔치 경쾌한 트로트와 짜릿한 한 방 웃음을 선사하며+중장년층에게는 공감을 젊은이들에게는 부모님의 사랑을 떠올릴 수 있는 공연,2022-10-07,2022-10-07,19:30,21:20,유료,세종공연예술센터,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,중학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
판타지아1950,문화회관 대공연장,한국의 전통 악기와 전 세계의 전통 악기뿐만 아니라 신디사이저와 빈티지 오르간을 활용해 강렬하고 개성 있는 사운드를 들려주며 곡마다 조명+전식 등을 활용하여 음악 공연이지만 한편의 뮤지컬을 감상하는 듯한 시각적인 만족감까지 선사,2022-09-23,2022-09-23,19:30,19:40,유료,상주문화회관+고래야,경상북도+경상북도 상주시+한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,4세 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
인피니티플라잉,문화회관 대공연장,세계 최초의 로봇팔 홀로그램 판타지 공연으로 신라 화랑의 역동적인 삶을 모티브로 남녀노소 내외국인 누구나 이해할 수 있도록 화랑의 무예에 마샬아츠를 가미하고 현대적으로 재구성한 넌버벌 퍼포먼스,2022-09-03,2022-09-03,13:30,18:15,유료,㈜페르소나 경주플라잉,경상북도+경상북도 상주시+상주문화회관,054-537-6215,,506,5000원,4세 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
써니텐,문화회관 대공연장,1990년대 ~ 2000년대 유행했던 주옥같은 노래들을 한 무대에서 들을 수 있는 주크박스 뮤지컬로 10일 동안 벌어지는 로맨틱 코미디 뮤지컬,2022-08-26,2022-08-26,19:30,20:50,유료,상주문화회관+예빚달,경상북도+경상북도 상주시+한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
재즈파크빅밴드 with jk김동욱+웅산,문화회관 대공연장,섬세하고 짙은 감성 보컬 웅산+허스키하면서도 부드러운 중저음의 대명사 jk김동욱+재즈파크빅밴드의 웅장한 멜로디를 통해 재즈 명곡 및 명화 속 음악들을 통해 감동을 선사,2021-11-26,2021-11-26,19:30,20:00,유료,상주문화회관+㈜제이피컴퍼니,경상북도+경상북도 상주시+한국문화예술회관연합회,054-537-6215,문화체육관광부+한국문화예술위원회,506,5000원,초등학생 이상 관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
문나이트,문화회관 대공연장,k-pop 댄스 뮤지컬,2026-05-29,2026-05-29,19:30,21:30,유료,경상북도 상주시,경상북도 상주시,054-537-6215,,506,10000원,초등학생이상관람가,국가유공자 및 장애인 50 할인,공연 하루 전 18시까지 환불 가능+사진 촬영 및 음식물 반입 불가+공연 10분전까지 입장 요망,,,N,경상북도 상주시 상산로 235,,36.411923,128.159195,2026-06-05,5110000,경상북도 상주시
2026년 08월 공연 <아기돼지 삼형제>(1회),장성문화예술회관 소공연장,어린이공연,2026-08-08,2026-08-08,11:00,12:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,199,4000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 07월 문화가 있는 날 영화상영,장성문화예술회관 대공연장,영화상영,2026-07-28,2026-07-28,19:00,21:00,무료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,486,0,12세이상,,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 07월 공연 <목짧은 기린 지피>(2회),장성문화예술회관 대공연장,어린이공연,2026-07-25,2026-07-25,15:00,16:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 07월 공연 <목짧은 기린 지피>(1회),장성문화예술회관 대공연장,어린이공연,2026-07-25,2026-07-25,11:00,12:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 07월 공연 <구창모 장성 콘서트>,장성문화예술회관 대공연장,기획공연,2026-07-07,2026-07-07,19:00,20:40,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,7세이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 06월 문화가 있는 날 영화상영 <살목지>,장성문화예술회관 대공연장,영화상영,2026-06-23,2026-06-23,19:00,21:00,무료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,486,0,15세이상,,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 06월 공연 <에코백>((2회),장성문화예술회관 대공연장,어린이공연,2026-06-20,2026-06-20,15:00,16:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 06월 공연 <에코백>(1회),장성문화예술회관 대공연장,어린이공연,2026-06-20,2026-06-20,11:00,12:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 05월 문화가 있는 날 영화상영 <왕과 사는 남자>,장성문화예술회관 대공연장,영화상영,2026-05-26,2026-05-26,19:00,21:00,무료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,486,0,12세이상,,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 05월 공연 <똥볶이 할멈>(2회),장성문화예술회관 대공연장,어린이공연,2026-05-10,2026-05-10,15:00,16:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
2026년 05월 공연 <똥볶이 할멈>(1회),장성문화예술회관 대공연장,어린이공연,2026-05-10,2026-05-10,11:00,12:00,유료,전라남도 장성군 문화교육과,전라남도 장성군 문화교육과,061-390-8578,,684,6000,24개월이상,어린이+학생+경로 등 50프로,,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_01,https://www.jangseong.go.kr/home/www/openinfo/openinfo_15/openinfo_15_03,Y,전라남도 장성군 장성읍 문화로 110,전라남도 장성군 장성읍 기산리 388,35.30226604,126.7678845,2026-06-17,5895000,전남광주통합특별시 장성군
